epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,9883.97,0.38306,0.27902,0.86814,0.98966,0.991,0.98462,0.9705,0.28856,0.21244,0.81401,0.0003862,0.0003862,0.0003862
95,9990.69,0.38644,0.28133,0.86869,0.98962,0.991,0.9846,0.97051,0.28799,0.2124,0.81389,0.0003796,0.0003796,0.0003796
96,10094,0.38528,0.28165,0.8708,0.98973,0.991,0.98464,0.97122,0.28654,0.21119,0.8133,0.000373,0.000373,0.000373
97,10198.4,0.38142,0.28354,0.8661,0.98972,0.991,0.98462,0.97135,0.28511,0.2104,0.81274,0.0003664,0.0003664,0.0003664
98,10306.7,0.3813,0.28282,0.86838,0.9896,0.991,0.9847,0.9713,0.28408,0.21021,0.81222,0.0003598,0.0003598,0.0003598
99,10410.5,0.37671,0.27646,0.86648,0.98959,0.991,0.98452,0.97118,0.28299,0.20951,0.81185,0.0003532,0.0003532,0.0003532
100,10513.8,0.37381,0.27604,0.86372,0.98962,0.991,0.98446,0.97071,0.2822,0.20869,0.81151,0.0003466,0.0003466,0.0003466
101,10619.7,0.37581,0.28047,0.86366,0.98964,0.991,0.98462,0.97076,0.28212,0.20756,0.81137,0.00034,0.00034,0.00034
102,10723.4,0.37585,0.27524,0.86591,0.98961,0.991,0.98454,0.97106,0.28102,0.20711,0.81102,0.0003334,0.0003334,0.0003334
103,10828.7,0.3771,0.27895,0.86474,0.9896,0.991,0.98454,0.97076,0.27971,0.2065,0.81067,0.0003268,0.0003268,0.0003268
104,10933,0.37107,0.26891,0.86145,0.98961,0.991,0.98479,0.97168,0.27866,0.20559,0.81047,0.0003202,0.0003202,0.0003202
105,11037,0.37201,0.26864,0.8631,0.98961,0.991,0.98476,0.97236,0.27734,0.20504,0.8102,0.0003136,0.0003136,0.0003136
106,11142.1,0.37127,0.27131,0.86288,0.98957,0.991,0.98468,0.97235,0.27573,0.20491,0.80977,0.000307,0.000307,0.000307
107,11247.6,0.37177,0.27287,0.86402,0.98956,0.991,0.98462,0.97229,0.27478,0.20421,0.80924,0.0003004,0.0003004,0.0003004
108,11352.4,0.36943,0.27153,0.86116,0.98954,0.991,0.98452,0.97271,0.27317,0.2047,0.80896,0.0002938,0.0002938,0.0002938
109,11455.3,0.37015,0.26619,0.86369,0.98953,0.991,0.98451,0.97281,0.27185,0.20447,0.80867,0.0002872,0.0002872,0.0002872
110,11559,0.3679,0.27014,0.86169,0.98951,0.991,0.98457,0.97332,0.27031,0.20411,0.80831,0.0002806,0.0002806,0.0002806
111,11664.7,0.36501,0.26667,0.85888,0.98949,0.991,0.98462,0.97345,0.26956,0.20346,0.80805,0.000274,0.000274,0.000274
112,11769,0.36346,0.2643,0.85906,0.98959,0.991,0.98456,0.97383,0.26806,0.20327,0.80772,0.0002674,0.0002674,0.0002674
113,11876.1,0.36808,0.27183,0.86226,0.98968,0.991,0.98448,0.97444,0.26699,0.20259,0.80753,0.0002608,0.0002608,0.0002608
114,11981.9,0.36372,0.26621,0.858,0.98968,0.991,0.98454,0.97485,0.26589,0.20197,0.80722,0.0002542,0.0002542,0.0002542
115,12088,0.36308,0.2675,0.85951,0.98968,0.991,0.98451,0.97508,0.26497,0.20224,0.80701,0.0002476,0.0002476,0.0002476
116,12192.6,0.36157,0.26329,0.85963,0.98958,0.991,0.98462,0.97554,0.26382,0.20177,0.80685,0.000241,0.000241,0.000241
117,12298.2,0.35878,0.26349,0.85622,0.98955,0.991,0.98459,0.9756,0.26257,0.20141,0.80661,0.0002344,0.0002344,0.0002344
118,12402.9,0.35827,0.26059,0.85619,0.98956,0.991,0.98469,0.9757,0.26165,0.20092,0.80653,0.0002278,0.0002278,0.0002278
119,12507.7,0.35877,0.26268,0.85705,0.98954,0.991,0.98474,0.97573,0.26116,0.20077,0.80647,0.0002212,0.0002212,0.0002212
120,12612.3,0.36105,0.26528,0.86091,0.98954,0.991,0.98472,0.97567,0.26093,0.2008,0.80636,0.0002146,0.0002146,0.0002146
121,12716.7,0.35781,0.26129,0.85826,0.98951,0.991,0.98467,0.97572,0.26052,0.20077,0.80593,0.000208,0.000208,0.000208
122,12820.9,0.35557,0.26095,0.85665,0.9894,0.991,0.98468,0.97584,0.25966,0.20097,0.80578,0.0002014,0.0002014,0.0002014
123,12926.1,0.35052,0.25532,0.85347,0.98941,0.991,0.98462,0.97571,0.25911,0.20095,0.80563,0.0001948,0.0001948,0.0001948
124,13033.7,0.35338,0.2565,0.85671,0.98942,0.991,0.98463,0.97627,0.25832,0.20076,0.80555,0.0001882,0.0001882,0.0001882
125,13137.6,0.35244,0.25788,0.85454,0.98941,0.991,0.98464,0.97628,0.2578,0.20035,0.8054,0.0001816,0.0001816,0.0001816
126,13241.5,0.3524,0.25653,0.85512,0.98937,0.991,0.98468,0.97631,0.25728,0.20004,0.80519,0.000175,0.000175,0.000175
127,13347.9,0.35036,0.25067,0.85494,0.98936,0.991,0.9848,0.97682,0.25697,0.19955,0.80505,0.0001684,0.0001684,0.0001684
128,13453.6,0.35285,0.2571,0.85553,0.98924,0.991,0.98462,0.97637,0.2563,0.19956,0.80482,0.0001618,0.0001618,0.0001618
129,13558.5,0.35009,0.25347,0.85327,0.98923,0.991,0.98472,0.97659,0.25533,0.19906,0.80463,0.0001552,0.0001552,0.0001552
130,13663.3,0.34861,0.24922,0.85391,0.98922,0.991,0.98465,0.97655,0.25482,0.19863,0.80449,0.0001486,0.0001486,0.0001486
131,13772.6,0.34836,0.25149,0.85388,0.98922,0.991,0.98479,0.97663,0.25461,0.19866,0.80438,0.000142,0.000142,0.000142
132,13877.7,0.34548,0.24895,0.85221,0.98923,0.991,0.98475,0.97676,0.25397,0.19815,0.80426,0.0001354,0.0001354,0.0001354
133,13983.7,0.34234,0.24736,0.84906,0.98923,0.991,0.98465,0.97651,0.25356,0.19809,0.80422,0.0001288,0.0001288,0.0001288
134,14090.2,0.34611,0.2496,0.85485,0.98921,0.991,0.98464,0.97683,0.25333,0.19824,0.80413,0.0001222,0.0001222,0.0001222
135,14193.7,0.34516,0.24523,0.85136,0.98922,0.991,0.98464,0.97674,0.25272,0.19768,0.80401,0.0001156,0.0001156,0.0001156
136,14297.3,0.34692,0.24618,0.85295,0.9892,0.991,0.98461,0.97693,0.25222,0.19679,0.80387,0.000109,0.000109,0.000109
137,14403.9,0.34004,0.24462,0.85025,0.9893,0.991,0.98469,0.97701,0.25168,0.19682,0.80379,0.0001024,0.0001024,0.0001024
138,14509.1,0.34047,0.24667,0.84975,0.98923,0.991,0.9846,0.97695,0.2511,0.19621,0.80365,9.58e-05,9.58e-05,9.58e-05
139,14614.9,0.34355,0.24702,0.85098,0.98926,0.991,0.98455,0.97699,0.25044,0.1959,0.80352,8.92e-05,8.92e-05,8.92e-05
140,14719.1,0.34066,0.24231,0.85084,0.98925,0.991,0.98443,0.97705,0.24998,0.19562,0.80345,8.26e-05,8.26e-05,8.26e-05
141,14828.5,0.27308,0.12906,0.80652,0.98937,0.991,0.98449,0.97711,0.24958,0.19575,0.80336,7.6e-05,7.6e-05,7.6e-05
142,14932.8,0.27039,0.12803,0.80295,0.98937,0.991,0.9844,0.97681,0.24944,0.19591,0.80328,6.94e-05,6.94e-05,6.94e-05
143,15038.1,0.26948,0.12759,0.80194,0.98939,0.991,0.98441,0.97706,0.24916,0.19615,0.80329,6.28e-05,6.28e-05,6.28e-05
144,15142.1,0.26797,0.12691,0.80316,0.98938,0.991,0.98444,0.97724,0.24859,0.19605,0.8032,5.62e-05,5.62e-05,5.62e-05
145,15246.4,0.26798,0.12594,0.80259,0.98938,0.991,0.98431,0.97731,0.24809,0.19618,0.80315,4.96e-05,4.96e-05,4.96e-05
146,15350.4,0.26674,0.12559,0.80225,0.98939,0.991,0.98431,0.97724,0.24746,0.19599,0.80305,4.3e-05,4.3e-05,4.3e-05
147,15455,0.26416,0.1243,0.80332,0.98959,0.991,0.98436,0.97745,0.24731,0.19579,0.80299,3.64e-05,3.64e-05,3.64e-05
148,15559.7,0.2655,0.12421,0.80106,0.98951,0.991,0.98437,0.97727,0.24673,0.19566,0.8029,2.98e-05,2.98e-05,2.98e-05
149,15664.1,0.26493,0.12385,0.80246,0.9895,0.991,0.98436,0.97738,0.2461,0.19555,0.80278,2.32e-05,2.32e-05,2.32e-05
150,15767.7,0.26366,0.12323,0.80303,0.9895,0.991,0.98436,0.97735,0.24555,0.19517,0.80262,1.66e-05,1.66e-05,1.66e-05
